"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"1","39","3","2","no","31","NA","5","2","10","NA","NA","NA","20","NA","p","17614","0","138","NA","NA","NA","1","500","300"
"1","74","1","2","yes","31","NA","5","2","50","NA","NA","NA","60","NA","l","7555","0","138","NA","NA","NA","3","300","400"
"1","6","1","2","no","31","NA","5","2","20","NA","NA","NA","40","NA","l","7960","0","138","NA","NA","NA","3","200","100"
"1","3","1","2","no","31","NA","5","2","10","NA","NA","NA","40","NA","l","10645","0","138","NA","NA","NA","3","400","100"
"1","4","3","2","no","31","NA","5","2","10","NA","NA","NA","20","NA","p","4360","0","138","NA","NA","NA","1","400","200"
"1","51","3","2","no","31","NA","5","2","30","NA","NA","NA","80","NA","p","7006","0","138","NA","NA","NA","1","300","100"
"1","34","2","2","no","31","NA","5","2","10","NA","NA","NA","50","NA","l","13722","0","138","NA","NA","NA","4","400","100"
"1","57","1","2","no","31","NA","5","2","30","NA","NA","NA","40","NA","l","3778","0","138","NA","NA","NA","3","500","400"
"1","17","2","2","no","31","NA","5","2","30","NA","NA","NA","50","NA","l","3061","0","138","NA","NA","NA","4","500","300"
"1","67","2","2","no","31","NA","5","2","50","NA","NA","NA","60","NA","p","8998","1","138","NA","NA","NA","4","500","400"
"1","12","4","2","no","31","NA","5","2","20","NA","NA","NA","50","NA","l","5498","1","138","NA","NA","NA","2","500","200"
"1","14","2","2","no","31","NA","5","2","30","NA","NA","NA","90","NA","p","5970","1","138","NA","NA","NA","4","300","100"
"1","59","4","2","no","31","NA","5","2","40","NA","NA","NA","90","NA","p","2641","0","138","NA","NA","NA","2","200","100"
"1","69","1","2","no","31","NA","5","2","70","NA","NA","NA","90","NA","l","4337","0","138","NA","NA","NA","3","400","300"
"1","41","3","2","no","31","NA","5","2","20","NA","NA","NA","50","NA","p","4793","0","138","NA","NA","NA","1","200","100"
"1","1","1","2","no","31","NA","5","2","10","NA","NA","NA","20","NA","l","2157","0","138","NA","NA","NA","3","200","100"
"1","36","1","2","no","31","NA","5","2","10","NA","NA","NA","60","NA","l","2715","0","138","NA","NA","NA","3","500","100"
"1","43","3","2","no","31","NA","5","2","20","NA","NA","NA","70","NA","p","2490","0","138","NA","NA","NA","1","300","100"
"1","26","3","2","no","31","NA","5","2","60","NA","NA","NA","80","NA","p","2147","0","138","NA","NA","NA","1","400","300"
"1","73","2","2","yes","31","NA","5","2","60","NA","NA","NA","70","NA","p","2488","1","138","NA","NA","NA","4","200","400"
"1","23","2","2","no","31","NA","5","2","50","NA","NA","NA","100","NA","p","4617","1","138","NA","NA","NA","4","200","100"
"1","63","2","2","no","31","NA","5","2","50","NA","NA","NA","70","NA","l","4125","0","138","NA","NA","NA","4","300","200"
"1","40","4","2","no","31","NA","5","2","20","NA","NA","NA","30","NA","p","4349","0","138","NA","NA","NA","2","200","100"
"1","10","4","2","no","31","NA","5","2","20","NA","NA","NA","40","NA","p","2851","0","138","NA","NA","NA","2","400","200"
"1","31","1","2","no","31","NA","5","2","10","NA","NA","NA","40","NA","l","2669","0","138","NA","NA","NA","3","300","100"
"1","29","2","2","no","31","NA","5","2","10","NA","NA","NA","30","NA","l","3726","0","138","NA","NA","NA","4","200","100"
"1","53","2","2","no","31","NA","5","2","30","NA","NA","NA","40","NA","l","3892","0","138","NA","NA","NA","4","300","200"
"1","45","2","2","no","31","NA","5","2","20","NA","NA","NA","90","NA","l","2694","0","138","NA","NA","NA","4","400","100"
"1","66","3","2","no","31","NA","5","2","50","NA","NA","NA","80","NA","p","5132","0","138","NA","NA","NA","1","500","300"
"1","2","2","2","no","31","NA","5","2","10","NA","NA","NA","30","NA","l","3116","0","138","NA","NA","NA","4","300","100"
"1","19","2","2","no","31","NA","5","2","40","NA","NA","NA","60","NA","l","4658","0","138","NA","NA","NA","4","300","200"
"1","64","2","2","no","31","NA","5","2","50","NA","NA","NA","80","NA","l","3772","0","138","NA","NA","NA","4","300","200"
"1","35","1","2","no","31","NA","5","2","10","NA","NA","NA","40","NA","l","2544","0","138","NA","NA","NA","3","500","100"
"1","42","4","2","no","31","NA","5","2","20","NA","NA","NA","50","NA","p","4808","0","138","NA","NA","NA","2","300","100"
"1","70","1","2","no","31","NA","5","2","70","NA","NA","NA","90","NA","l","2257","0","138","NA","NA","NA","3","500","400"
"1","11","2","2","no","31","NA","5","2","20","NA","NA","NA","100","NA","l","3804","0","138","NA","NA","NA","4","500","100"
"1","27","1","2","no","31","NA","5","2","60","NA","NA","NA","100","NA","l","4449","0","138","NA","NA","NA","3","500","300"
"1","8","4","2","no","31","NA","5","2","20","NA","NA","NA","30","NA","p","5108","0","138","NA","NA","NA","2","300","200"
