"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"3","17","2","1","no","5","NA","3","1","30","NA","NA","NA","50","NA","p","8538","1","111","NA","NA","NA","4","500","300"
"3","38","1","1","no","5","NA","3","1","10","NA","NA","NA","30","NA","p","3355","1","111","NA","NA","NA","3","500","200"
"3","52","4","1","no","5","NA","3","1","30","NA","NA","NA","100","NA","l","3483","1","111","NA","NA","NA","2","300","100"
"3","64","2","1","no","5","NA","3","1","50","NA","NA","NA","80","NA","p","2830","1","111","NA","NA","NA","4","300","200"
"3","44","3","1","no","5","NA","3","1","20","NA","NA","NA","70","NA","l","4418","1","111","NA","NA","NA","1","400","100"
"3","28","3","1","no","5","NA","3","1","80","NA","NA","NA","100","NA","l","3496","1","111","NA","NA","NA","1","500","400"
"3","42","4","1","no","5","NA","3","1","20","NA","NA","NA","50","NA","l","3258","1","111","NA","NA","NA","2","300","100"
"3","14","2","1","no","5","NA","3","1","30","NA","NA","NA","90","NA","p","2749","1","111","NA","NA","NA","4","300","100"
"3","41","3","1","no","5","NA","3","1","20","NA","NA","NA","50","NA","l","2862","1","111","NA","NA","NA","1","200","100"
"3","29","2","1","no","5","NA","3","1","10","NA","NA","NA","30","NA","l","4056","0","111","NA","NA","NA","4","200","100"
"3","31","1","1","no","5","NA","3","1","10","NA","NA","NA","40","NA","p","4652","1","111","NA","NA","NA","3","300","100"
"3","73","2","1","yes","5","NA","3","1","60","NA","NA","NA","70","NA","l","7816","0","111","NA","NA","NA","4","200","400"
"3","30","2","1","no","5","NA","3","1","10","NA","NA","NA","20","NA","p","1806","1","111","NA","NA","NA","4","300","100"
"3","20","4","1","no","5","NA","3","1","40","NA","NA","NA","80","NA","l","3532","1","111","NA","NA","NA","2","400","200"
"3","62","1","1","no","5","NA","3","1","50","NA","NA","NA","90","NA","p","3668","1","111","NA","NA","NA","3","200","100"
"3","74","1","1","yes","5","NA","3","1","50","NA","NA","NA","60","NA","p","5087","1","111","NA","NA","NA","3","300","400"
