"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"1","63","2","2","no","7","NA","5","2","50","NA","NA","NA","70","NA","p","7220","1","95","NA","NA","NA","4","300","200"
"1","30","2","2","no","7","NA","5","2","10","NA","NA","NA","20","NA","p","6561","1","95","NA","NA","NA","4","300","100"
"1","8","4","2","no","7","NA","5","2","20","NA","NA","NA","30","NA","l","7160","1","95","NA","NA","NA","2","300","200"
"1","68","1","2","no","7","NA","5","2","70","NA","NA","NA","100","NA","p","7077","1","95","NA","NA","NA","3","300","200"
"1","51","3","2","no","7","NA","5","2","30","NA","NA","NA","80","NA","l","3993","1","95","NA","NA","NA","1","300","100"
"1","13","4","2","no","7","NA","5","2","30","NA","NA","NA","60","NA","l","9718","1","95","NA","NA","NA","2","200","100"
"1","69","1","2","no","7","NA","5","2","70","NA","NA","NA","90","NA","p","11423","1","95","NA","NA","NA","3","400","300"
"1","42","4","2","no","7","NA","5","2","20","NA","NA","NA","50","NA","l","7228","1","95","NA","NA","NA","2","300","100"
"1","66","3","2","no","7","NA","5","2","50","NA","NA","NA","80","NA","l","4519","1","95","NA","NA","NA","1","500","300"
"1","39","3","2","no","7","NA","5","2","10","NA","NA","NA","20","NA","l","6704","1","95","NA","NA","NA","1","500","300"
"1","27","1","2","no","7","NA","5","2","60","NA","NA","NA","100","NA","p","2337","1","95","NA","NA","NA","3","500","300"
"1","10","4","2","no","7","NA","5","2","20","NA","NA","NA","40","NA","l","2962","1","95","NA","NA","NA","2","400","200"
"1","40","4","2","no","7","NA","5","2","20","NA","NA","NA","30","NA","l","1391","1","95","NA","NA","NA","2","200","100"
"1","12","4","2","no","7","NA","5","2","20","NA","NA","NA","50","NA","l","1783","1","95","NA","NA","NA","2","500","200"
"1","52","4","2","no","7","NA","5","2","30","NA","NA","NA","100","NA","l","1508","1","95","NA","NA","NA","2","300","100"
"1","62","1","2","no","7","NA","5","2","50","NA","NA","NA","90","NA","p","3302","1","95","NA","NA","NA","3","200","100"
"1","28","3","2","no","7","NA","5","2","80","NA","NA","NA","100","NA","l","1632","1","95","NA","NA","NA","1","500","400"
"1","38","1","2","no","7","NA","5","2","10","NA","NA","NA","30","NA","p","1194","1","95","NA","NA","NA","3","500","200"
"1","2","2","2","no","7","NA","5","2","10","NA","NA","NA","30","NA","p","1945","1","95","NA","NA","NA","4","300","100"
"1","48","4","2","no","7","NA","5","2","20","NA","NA","NA","30","NA","l","1208","1","95","NA","NA","NA","2","500","300"
"1","9","3","2","no","7","NA","5","2","20","NA","NA","NA","80","NA","l","3790","1","95","NA","NA","NA","1","400","100"
"1","75","4","2","yes","7","NA","5","2","40","NA","NA","NA","50","NA","l","1237","1","95","NA","NA","NA","2","200","400"
"1","36","1","2","no","7","NA","5","2","10","NA","NA","NA","60","NA","p","2272","1","95","NA","NA","NA","3","500","100"
"1","25","3","2","no","7","NA","5","2","60","NA","NA","NA","90","NA","l","3490","1","95","NA","NA","NA","1","300","200"
"1","45","2","2","no","7","NA","5","2","20","NA","NA","NA","90","NA","p","1269","1","95","NA","NA","NA","4","400","100"
"1","55","3","2","no","7","NA","5","2","30","NA","NA","NA","70","NA","l","8054","1","95","NA","NA","NA","1","500","200"
"1","29","2","2","no","7","NA","5","2","10","NA","NA","NA","30","NA","p","1227","1","95","NA","NA","NA","4","200","100"
"1","59","4","2","no","7","NA","5","2","40","NA","NA","NA","90","NA","l","2232","1","95","NA","NA","NA","2","200","100"
"1","54","3","2","no","7","NA","5","2","30","NA","NA","NA","50","NA","l","1362","1","95","NA","NA","NA","1","300","200"
"1","32","4","2","no","7","NA","5","2","10","NA","NA","NA","20","NA","l","1217","1","95","NA","NA","NA","2","300","200"
"1","53","2","2","no","7","NA","5","2","30","NA","NA","NA","40","NA","p","4693","1","95","NA","NA","NA","4","300","200"
"1","70","1","2","no","7","NA","5","2","70","NA","NA","NA","90","NA","p","2263","1","95","NA","NA","NA","3","500","400"
"1","49","2","2","no","7","NA","5","2","30","NA","NA","NA","50","NA","p","1249","1","95","NA","NA","NA","4","200","100"
"1","22","4","2","no","7","NA","5","2","40","NA","NA","NA","50","NA","l","1206","1","95","NA","NA","NA","2","500","400"
"1","72","1","2","yes","7","NA","5","2","70","NA","NA","NA","80","NA","p","3186","1","95","NA","NA","NA","3","300","400"
"1","67","2","2","no","7","NA","5","2","50","NA","NA","NA","60","NA","p","1378","1","95","NA","NA","NA","4","500","400"
"1","60","1","2","no","7","NA","5","2","40","NA","NA","NA","50","NA","p","2103","1","95","NA","NA","NA","3","400","300"
"1","20","4","2","no","7","NA","5","2","40","NA","NA","NA","80","NA","l","2104","1","95","NA","NA","NA","2","400","200"
"1","31","1","2","no","7","NA","5","2","10","NA","NA","NA","40","NA","p","2793","1","95","NA","NA","NA","3","300","100"
"1","57","1","2","no","7","NA","5","2","30","NA","NA","NA","40","NA","p","2301","1","95","NA","NA","NA","3","500","400"
"1","21","4","2","no","7","NA","5","2","40","NA","NA","NA","100","NA","l","1455","1","95","NA","NA","NA","2","500","200"
"1","47","3","2","no","7","NA","5","2","20","NA","NA","NA","90","NA","l","1329","1","95","NA","NA","NA","1","500","100"
"1","7","4","2","no","7","NA","5","2","20","NA","NA","NA","60","NA","l","1155","1","95","NA","NA","NA","2","300","100"
"1","44","3","2","no","7","NA","5","2","20","NA","NA","NA","70","NA","l","3451","1","95","NA","NA","NA","1","400","100"
"1","61","4","2","no","7","NA","5","2","40","NA","NA","NA","70","NA","l","1255","1","95","NA","NA","NA","2","500","300"
