"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","26","4","1","no","53","NA","4","1","60","NA","NA","NA","80","NA","p","5480","0","95","NA","NA","NA","1","400","300"
"4","47","4","1","no","53","NA","4","1","20","NA","NA","NA","90","NA","p","3410","0","95","NA","NA","NA","1","500","100"
"4","12","1","1","no","53","NA","4","1","20","NA","NA","NA","50","NA","l","3963","0","95","NA","NA","NA","2","500","200"
"4","36","2","1","no","53","NA","4","1","10","NA","NA","NA","60","NA","l","4784","0","95","NA","NA","NA","3","500","100"
"4","59","1","1","no","53","NA","4","1","40","NA","NA","NA","90","NA","l","2974","0","95","NA","NA","NA","2","200","100"
"4","11","3","1","no","53","NA","4","1","20","NA","NA","NA","100","NA","p","3813","0","95","NA","NA","NA","4","500","100"
"4","43","4","1","no","53","NA","4","1","20","NA","NA","NA","70","NA","p","4321","0","95","NA","NA","NA","1","300","100"
"4","55","4","1","no","53","NA","4","1","30","NA","NA","NA","70","NA","p","4913","0","95","NA","NA","NA","1","500","200"
"4","56","3","1","no","53","NA","4","1","30","NA","NA","NA","80","NA","p","4253","0","95","NA","NA","NA","4","500","200"
"4","17","3","1","no","53","NA","4","1","30","NA","NA","NA","50","NA","p","4050","0","95","NA","NA","NA","4","500","300"
"4","18","4","1","no","53","NA","4","1","40","NA","NA","NA","80","NA","p","4436","0","95","NA","NA","NA","1","200","100"
"4","63","3","1","no","53","NA","4","1","50","NA","NA","NA","70","NA","l","6087","1","95","NA","NA","NA","4","300","200"
"4","69","2","1","no","53","NA","4","1","70","NA","NA","NA","90","NA","l","2834","0","95","NA","NA","NA","3","400","300"
"4","24","3","1","no","53","NA","4","1","50","NA","NA","NA","100","NA","p","4933","0","95","NA","NA","NA","4","400","200"
"4","66","4","1","no","53","NA","4","1","50","NA","NA","NA","80","NA","p","7291","0","95","NA","NA","NA","1","500","300"
"4","53","3","1","no","53","NA","4","1","30","NA","NA","NA","40","NA","l","5132","1","95","NA","NA","NA","4","300","200"
"4","10","1","1","no","53","NA","4","1","20","NA","NA","NA","40","NA","l","6034","0","95","NA","NA","NA","2","400","200"
"4","4","4","1","no","53","NA","4","1","10","NA","NA","NA","20","NA","l","4142","1","95","NA","NA","NA","1","400","200"
"4","27","2","1","no","53","NA","4","1","60","NA","NA","NA","100","NA","l","1963","0","95","NA","NA","NA","3","500","300"
"4","13","1","1","no","53","NA","4","1","30","NA","NA","NA","60","NA","l","2000","0","95","NA","NA","NA","2","200","100"
"4","16","4","1","no","53","NA","4","1","30","NA","NA","NA","40","NA","l","5110","1","95","NA","NA","NA","1","400","300"
"4","30","3","1","no","53","NA","4","1","10","NA","NA","NA","20","NA","l","4964","1","95","NA","NA","NA","4","300","100"
"4","71","3","1","yes","53","NA","4","1","80","NA","NA","NA","90","NA","p","4826","0","95","NA","NA","NA","4","200","400"
"4","41","4","1","no","53","NA","4","1","20","NA","NA","NA","50","NA","p","4078","0","95","NA","NA","NA","1","200","100"
"4","1","2","1","no","53","NA","4","1","10","NA","NA","NA","20","NA","p","3533","1","95","NA","NA","NA","3","200","100"
"4","51","4","1","no","53","NA","4","1","30","NA","NA","NA","80","NA","p","1796","0","95","NA","NA","NA","1","300","100"
"4","42","1","1","no","53","NA","4","1","20","NA","NA","NA","50","NA","l","4727","0","95","NA","NA","NA","2","300","100"
"4","70","2","1","no","53","NA","4","1","70","NA","NA","NA","90","NA","l","2400","0","95","NA","NA","NA","3","500","400"
"4","3","2","1","no","53","NA","4","1","10","NA","NA","NA","40","NA","l","4298","0","95","NA","NA","NA","3","400","100"
"4","21","1","1","no","53","NA","4","1","40","NA","NA","NA","100","NA","l","1947","0","95","NA","NA","NA","2","500","200"
"4","22","1","1","no","53","NA","4","1","40","NA","NA","NA","50","NA","l","2775","0","95","NA","NA","NA","2","500","400"
"4","72","2","1","yes","53","NA","4","1","70","NA","NA","NA","80","NA","l","2484","0","95","NA","NA","NA","3","300","400"
"4","31","2","1","no","53","NA","4","1","10","NA","NA","NA","40","NA","l","10687","0","95","NA","NA","NA","3","300","100"
"4","45","3","1","no","53","NA","4","1","20","NA","NA","NA","90","NA","p","3734","0","95","NA","NA","NA","4","400","100"
