"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"1","39","3","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","3819","1","76","NA","NA","NA","1","500","300"
"1","8","4","2","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","6528","0","76","NA","NA","NA","2","300","200"
"1","14","2","2","no","64","NA","5","2","30","NA","NA","NA","90","NA","l","4185","0","76","NA","NA","NA","4","300","100"
"1","11","2","2","no","64","NA","5","2","20","NA","NA","NA","100","NA","l","6342","0","76","NA","NA","NA","4","500","100"
"1","45","2","2","no","64","NA","5","2","20","NA","NA","NA","90","NA","p","2726","1","76","NA","NA","NA","4","400","100"
"1","51","3","2","no","64","NA","5","2","30","NA","NA","NA","80","NA","p","6821","0","76","NA","NA","NA","1","300","100"
"1","63","2","2","no","64","NA","5","2","50","NA","NA","NA","70","NA","p","4489","1","76","NA","NA","NA","4","300","200"
"1","44","3","2","no","64","NA","5","2","20","NA","NA","NA","70","NA","p","3685","0","76","NA","NA","NA","1","400","100"
"1","70","1","2","no","64","NA","5","2","70","NA","NA","NA","90","NA","l","4791","0","76","NA","NA","NA","3","500","400"
"1","5","4","2","no","64","NA","5","2","10","NA","NA","NA","50","NA","p","6403","0","76","NA","NA","NA","2","500","100"
"1","68","1","2","no","64","NA","5","2","70","NA","NA","NA","100","NA","p","4751","1","76","NA","NA","NA","3","300","200"
"1","3","1","2","no","64","NA","5","2","10","NA","NA","NA","40","NA","l","4414","0","76","NA","NA","NA","3","400","100"
"1","69","1","2","no","64","NA","5","2","70","NA","NA","NA","90","NA","p","5195","1","76","NA","NA","NA","3","400","300"
"1","10","4","2","no","64","NA","5","2","20","NA","NA","NA","40","NA","p","5001","0","76","NA","NA","NA","2","400","200"
"1","35","1","2","no","64","NA","5","2","10","NA","NA","NA","40","NA","l","8061","0","76","NA","NA","NA","3","500","100"
"1","62","1","2","no","64","NA","5","2","50","NA","NA","NA","90","NA","p","3833","1","76","NA","NA","NA","3","200","100"
"1","40","4","2","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","5847","0","76","NA","NA","NA","2","200","100"
"1","6","1","2","no","64","NA","5","2","20","NA","NA","NA","40","NA","l","8458","0","76","NA","NA","NA","3","200","100"
"1","12","4","2","no","64","NA","5","2","20","NA","NA","NA","50","NA","p","6766","0","76","NA","NA","NA","2","500","200"
"1","43","3","2","no","64","NA","5","2","20","NA","NA","NA","70","NA","l","7067","1","76","NA","NA","NA","1","300","100"
"1","18","3","2","no","64","NA","5","2","40","NA","NA","NA","80","NA","l","2751","1","76","NA","NA","NA","1","200","100"
"1","64","2","2","no","64","NA","5","2","50","NA","NA","NA","80","NA","p","5341","1","76","NA","NA","NA","4","300","200"
"1","32","4","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","2583","1","76","NA","NA","NA","2","300","200"
"1","20","4","2","no","64","NA","5","2","40","NA","NA","NA","80","NA","p","3596","0","76","NA","NA","NA","2","400","200"
"1","42","4","2","no","64","NA","5","2","20","NA","NA","NA","50","NA","l","5032","1","76","NA","NA","NA","2","300","100"
"1","52","4","2","no","64","NA","5","2","30","NA","NA","NA","100","NA","l","2581","1","76","NA","NA","NA","2","300","100"
"1","50","4","2","no","64","NA","5","2","30","NA","NA","NA","70","NA","l","4051","1","76","NA","NA","NA","2","200","100"
"1","56","2","2","no","64","NA","5","2","30","NA","NA","NA","80","NA","p","8717","1","76","NA","NA","NA","4","500","200"
"1","19","2","2","no","64","NA","5","2","40","NA","NA","NA","60","NA","l","10630","0","76","NA","NA","NA","4","300","200"
"1","31","1","2","no","64","NA","5","2","10","NA","NA","NA","40","NA","l","6195","0","76","NA","NA","NA","3","300","100"
"1","65","3","2","no","64","NA","5","2","50","NA","NA","NA","70","NA","l","8680","1","76","NA","NA","NA","1","400","300"
"1","23","2","2","no","64","NA","5","2","50","NA","NA","NA","100","NA","p","2859","1","76","NA","NA","NA","4","200","100"
"1","67","2","2","no","64","NA","5","2","50","NA","NA","NA","60","NA","p","3998","1","76","NA","NA","NA","4","500","400"
"1","26","3","2","no","64","NA","5","2","60","NA","NA","NA","80","NA","l","2820","1","76","NA","NA","NA","1","400","300"
"1","66","3","2","no","64","NA","5","2","50","NA","NA","NA","80","NA","l","2839","1","76","NA","NA","NA","1","500","300"
"1","47","3","2","no","64","NA","5","2","20","NA","NA","NA","90","NA","l","1771","1","76","NA","NA","NA","1","500","100"
"1","60","1","2","no","64","NA","5","2","40","NA","NA","NA","50","NA","p","4018","1","76","NA","NA","NA","3","400","300"
"1","9","3","2","no","64","NA","5","2","20","NA","NA","NA","80","NA","l","4967","1","76","NA","NA","NA","1","400","100"
"1","75","4","2","yes","64","NA","5","2","40","NA","NA","NA","50","NA","l","10874","1","76","NA","NA","NA","2","200","400"
"1","2","2","2","no","64","NA","5","2","10","NA","NA","NA","30","NA","l","4525","0","76","NA","NA","NA","4","300","100"
"1","28","3","2","no","64","NA","5","2","80","NA","NA","NA","100","NA","l","2990","1","76","NA","NA","NA","1","500","400"
"1","1","1","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","1748","0","76","NA","NA","NA","3","200","100"
"1","4","3","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","p","3492","0","76","NA","NA","NA","1","400","200"
"1","71","2","2","yes","64","NA","5","2","80","NA","NA","NA","90","NA","p","3479","1","76","NA","NA","NA","4","200","400"
"1","33","4","2","no","64","NA","5","2","10","NA","NA","NA","30","NA","l","4618","1","76","NA","NA","NA","2","400","100"
"1","34","2","2","no","64","NA","5","2","10","NA","NA","NA","50","NA","l","6870","0","76","NA","NA","NA","4","400","100"
"1","54","3","2","no","64","NA","5","2","30","NA","NA","NA","50","NA","l","11088","1","76","NA","NA","NA","1","300","200"
"1","38","1","2","no","64","NA","5","2","10","NA","NA","NA","30","NA","l","3596","0","76","NA","NA","NA","3","500","200"
"1","48","4","2","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","4690","0","76","NA","NA","NA","2","500","300"
"1","13","4","2","no","64","NA","5","2","30","NA","NA","NA","60","NA","l","3891","1","76","NA","NA","NA","2","200","100"
"1","73","2","2","yes","64","NA","5","2","60","NA","NA","NA","70","NA","p","6046","1","76","NA","NA","NA","4","200","400"
"1","7","4","2","no","64","NA","5","2","20","NA","NA","NA","60","NA","l","3690","1","76","NA","NA","NA","2","300","100"
"1","22","4","2","no","64","NA","5","2","40","NA","NA","NA","50","NA","l","7060","1","76","NA","NA","NA","2","500","400"
"1","24","2","2","no","64","NA","5","2","50","NA","NA","NA","100","NA","p","4375","1","76","NA","NA","NA","4","400","200"
"1","72","1","2","yes","64","NA","5","2","70","NA","NA","NA","80","NA","p","4902","1","76","NA","NA","NA","3","300","400"
"1","27","1","2","no","64","NA","5","2","60","NA","NA","NA","100","NA","p","2286","1","76","NA","NA","NA","3","500","300"
"1","58","1","2","no","64","NA","5","2","40","NA","NA","NA","70","NA","p","5457","1","76","NA","NA","NA","3","200","100"
"1","74","1","2","yes","64","NA","5","2","50","NA","NA","NA","60","NA","p","5611","1","76","NA","NA","NA","3","300","400"
"1","30","2","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","3190","0","76","NA","NA","NA","4","300","100"
"1","16","3","2","no","64","NA","5","2","30","NA","NA","NA","40","NA","p","5013","0","76","NA","NA","NA","1","400","300"
"1","57","1","2","no","64","NA","5","2","30","NA","NA","NA","40","NA","p","5097","1","76","NA","NA","NA","3","500","400"
"1","25","3","2","no","64","NA","5","2","60","NA","NA","NA","90","NA","l","3277","1","76","NA","NA","NA","1","300","200"
"1","59","4","2","no","64","NA","5","2","40","NA","NA","NA","90","NA","l","4214","1","76","NA","NA","NA","2","200","100"
"1","17","2","2","no","64","NA","5","2","30","NA","NA","NA","50","NA","l","4312","0","76","NA","NA","NA","4","500","300"
"1","41","3","2","no","64","NA","5","2","20","NA","NA","NA","50","NA","l","4161","1","76","NA","NA","NA","1","200","100"
"1","49","2","2","no","64","NA","5","2","30","NA","NA","NA","50","NA","p","10328","1","76","NA","NA","NA","4","200","100"
"1","53","2","2","no","64","NA","5","2","30","NA","NA","NA","40","NA","p","2825","1","76","NA","NA","NA","4","300","200"
"1","15","3","2","no","64","NA","5","2","30","NA","NA","NA","60","NA","l","4013","1","76","NA","NA","NA","1","400","200"
"1","29","2","2","no","64","NA","5","2","10","NA","NA","NA","30","NA","p","4001","1","76","NA","NA","NA","4","200","100"
"1","61","4","2","no","64","NA","5","2","40","NA","NA","NA","70","NA","l","5078","1","76","NA","NA","NA","2","500","300"
"1","21","4","2","no","64","NA","5","2","40","NA","NA","NA","100","NA","l","2601","1","76","NA","NA","NA","2","500","200"
"1","46","1","2","no","64","NA","5","2","20","NA","NA","NA","30","NA","l","4174","0","76","NA","NA","NA","3","400","300"
"1","37","1","2","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","2741","0","76","NA","NA","NA","3","500","200"
"1","55","3","2","no","64","NA","5","2","30","NA","NA","NA","70","NA","l","4526","1","76","NA","NA","NA","1","500","200"
"1","36","1","2","no","64","NA","5","2","10","NA","NA","NA","60","NA","p","5447","1","76","NA","NA","NA","3","500","100"
"1","48","2","1","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","3394","1","76","NA","NA","NA","2","500","300"
"1","36","3","1","no","64","NA","5","2","10","NA","NA","NA","60","NA","p","2776","0","76","NA","NA","NA","3","500","100"
"1","59","2","1","no","64","NA","5","2","40","NA","NA","NA","90","NA","l","2205","0","76","NA","NA","NA","2","200","100"
"1","17","4","1","no","64","NA","5","2","30","NA","NA","NA","50","NA","p","2651","0","76","NA","NA","NA","4","500","300"
"1","74","3","1","yes","64","NA","5","2","50","NA","NA","NA","60","NA","p","3567","0","76","NA","NA","NA","3","300","400"
"1","55","1","1","no","64","NA","5","2","30","NA","NA","NA","70","NA","l","2716","0","76","NA","NA","NA","1","500","200"
"1","63","4","1","no","64","NA","5","2","50","NA","NA","NA","70","NA","p","2238","0","76","NA","NA","NA","4","300","200"
"1","61","2","1","no","64","NA","5","2","40","NA","NA","NA","70","NA","l","2569","0","76","NA","NA","NA","2","500","300"
"1","46","3","1","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","2985","0","76","NA","NA","NA","3","400","300"
"1","41","1","1","no","64","NA","5","2","20","NA","NA","NA","50","NA","l","2207","0","76","NA","NA","NA","1","200","100"
"1","24","4","1","no","64","NA","5","2","50","NA","NA","NA","100","NA","l","3029","1","76","NA","NA","NA","4","400","200"
"1","65","1","1","no","64","NA","5","2","50","NA","NA","NA","70","NA","l","3546","0","76","NA","NA","NA","1","400","300"
"1","54","1","1","no","64","NA","5","2","30","NA","NA","NA","50","NA","l","5591","0","76","NA","NA","NA","1","300","200"
"1","52","2","1","no","64","NA","5","2","30","NA","NA","NA","100","NA","l","2638","0","76","NA","NA","NA","2","300","100"
"1","70","3","1","no","64","NA","5","2","70","NA","NA","NA","90","NA","p","2797","0","76","NA","NA","NA","3","500","400"
"1","6","3","1","no","64","NA","5","2","20","NA","NA","NA","40","NA","p","2395","0","76","NA","NA","NA","3","200","100"
"1","40","2","1","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","4600","1","76","NA","NA","NA","2","200","100"
"1","15","1","1","no","64","NA","5","2","30","NA","NA","NA","60","NA","l","7588","0","76","NA","NA","NA","1","400","200"
"1","30","4","1","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","2443","1","76","NA","NA","NA","4","300","100"
"1","28","1","1","no","64","NA","5","2","80","NA","NA","NA","100","NA","l","1615","0","76","NA","NA","NA","1","500","400"
"1","62","3","1","no","64","NA","5","2","50","NA","NA","NA","90","NA","p","2165","0","76","NA","NA","NA","3","200","100"
"1","73","4","1","yes","64","NA","5","2","60","NA","NA","NA","70","NA","p","2772","0","76","NA","NA","NA","4","200","400"
"1","57","3","1","no","64","NA","5","2","30","NA","NA","NA","40","NA","l","2946","1","76","NA","NA","NA","3","500","400"
"1","20","2","1","no","64","NA","5","2","40","NA","NA","NA","80","NA","l","2496","0","76","NA","NA","NA","2","400","200"
"1","56","4","1","no","64","NA","5","2","30","NA","NA","NA","80","NA","p","5908","0","76","NA","NA","NA","4","500","200"
"1","29","4","1","no","64","NA","5","2","10","NA","NA","NA","30","NA","l","2212","1","76","NA","NA","NA","4","200","100"
"1","14","4","1","no","64","NA","5","2","30","NA","NA","NA","90","NA","p","2576","0","76","NA","NA","NA","4","300","100"
"1","49","4","1","no","64","NA","5","2","30","NA","NA","NA","50","NA","l","2855","1","76","NA","NA","NA","4","200","100"
"1","64","4","1","no","64","NA","5","2","50","NA","NA","NA","80","NA","p","2507","0","76","NA","NA","NA","4","300","200"
"1","75","2","1","yes","64","NA","5","2","40","NA","NA","NA","50","NA","l","2916","0","76","NA","NA","NA","2","200","400"
"1","25","1","1","no","64","NA","5","2","60","NA","NA","NA","90","NA","l","4019","0","76","NA","NA","NA","1","300","200"
"1","51","1","1","no","64","NA","5","2","30","NA","NA","NA","80","NA","p","3411","1","76","NA","NA","NA","1","300","100"
"1","58","3","1","no","64","NA","5","2","40","NA","NA","NA","70","NA","p","1567","0","76","NA","NA","NA","3","200","100"
"1","16","1","1","no","64","NA","5","2","30","NA","NA","NA","40","NA","p","5214","1","76","NA","NA","NA","1","400","300"
"1","67","4","1","no","64","NA","5","2","50","NA","NA","NA","60","NA","l","2772","1","76","NA","NA","NA","4","500","400"
"1","47","1","1","no","64","NA","5","2","20","NA","NA","NA","90","NA","p","3027","1","76","NA","NA","NA","1","500","100"
"1","7","2","1","no","64","NA","5","2","20","NA","NA","NA","60","NA","p","2262","1","76","NA","NA","NA","2","300","100"
"1","38","3","1","no","64","NA","5","2","10","NA","NA","NA","30","NA","l","2608","1","76","NA","NA","NA","3","500","200"
"1","5","2","1","no","64","NA","5","2","10","NA","NA","NA","50","NA","l","2973","0","76","NA","NA","NA","2","500","100"
"1","11","4","1","no","64","NA","5","2","20","NA","NA","NA","100","NA","p","1900","0","76","NA","NA","NA","4","500","100"
"1","60","3","1","no","64","NA","5","2","40","NA","NA","NA","50","NA","p","3501","0","76","NA","NA","NA","3","400","300"
"1","27","3","1","no","64","NA","5","2","60","NA","NA","NA","100","NA","p","1688","0","76","NA","NA","NA","3","500","300"
"1","72","3","1","yes","64","NA","5","2","70","NA","NA","NA","80","NA","p","2409","0","76","NA","NA","NA","3","300","400"
"1","3","3","1","no","64","NA","5","2","10","NA","NA","NA","40","NA","p","2293","0","76","NA","NA","NA","3","400","100"
"1","68","3","1","no","64","NA","5","2","70","NA","NA","NA","100","NA","p","2351","0","76","NA","NA","NA","3","300","200"
"1","31","3","1","no","64","NA","5","2","10","NA","NA","NA","40","NA","p","2399","0","76","NA","NA","NA","3","300","100"
"1","33","2","1","no","64","NA","5","2","10","NA","NA","NA","30","NA","p","2565","1","76","NA","NA","NA","2","400","100"
"1","4","1","1","no","64","NA","5","2","10","NA","NA","NA","20","NA","p","3210","1","76","NA","NA","NA","1","400","200"
"1","2","4","1","no","64","NA","5","2","10","NA","NA","NA","30","NA","p","5127","0","76","NA","NA","NA","4","300","100"
"1","37","3","1","no","64","NA","5","2","10","NA","NA","NA","20","NA","l","4719","1","76","NA","NA","NA","3","500","200"
"1","35","3","1","no","64","NA","5","2","10","NA","NA","NA","40","NA","p","2456","0","76","NA","NA","NA","3","500","100"
"1","13","2","1","no","64","NA","5","2","30","NA","NA","NA","60","NA","p","3458","1","76","NA","NA","NA","2","200","100"
"1","12","2","1","no","64","NA","5","2","20","NA","NA","NA","50","NA","l","2398","0","76","NA","NA","NA","2","500","200"
"1","23","4","1","no","64","NA","5","2","50","NA","NA","NA","100","NA","p","1900","0","76","NA","NA","NA","4","200","100"
"1","66","1","1","no","64","NA","5","2","50","NA","NA","NA","80","NA","p","2061","1","76","NA","NA","NA","1","500","300"
"1","42","2","1","no","64","NA","5","2","20","NA","NA","NA","50","NA","p","2952","1","76","NA","NA","NA","2","300","100"
"1","69","3","1","no","64","NA","5","2","70","NA","NA","NA","90","NA","l","5216","1","76","NA","NA","NA","3","400","300"
"1","44","1","1","no","64","NA","5","2","20","NA","NA","NA","70","NA","l","5420","0","76","NA","NA","NA","1","400","100"
"1","8","2","1","no","64","NA","5","2","20","NA","NA","NA","30","NA","p","2617","1","76","NA","NA","NA","2","300","200"
"1","26","1","1","no","64","NA","5","2","60","NA","NA","NA","80","NA","p","1910","1","76","NA","NA","NA","1","400","300"
"1","50","2","1","no","64","NA","5","2","30","NA","NA","NA","70","NA","l","3095","0","76","NA","NA","NA","2","200","100"
"1","34","4","1","no","64","NA","5","2","10","NA","NA","NA","50","NA","p","3176","0","76","NA","NA","NA","4","400","100"
"1","39","1","1","no","64","NA","5","2","10","NA","NA","NA","20","NA","p","3302","1","76","NA","NA","NA","1","500","300"
"1","19","4","1","no","64","NA","5","2","40","NA","NA","NA","60","NA","p","2865","0","76","NA","NA","NA","4","300","200"
"1","18","1","1","no","64","NA","5","2","40","NA","NA","NA","80","NA","l","1843","0","76","NA","NA","NA","1","200","100"
"1","22","2","1","no","64","NA","5","2","40","NA","NA","NA","50","NA","p","2511","1","76","NA","NA","NA","2","500","400"
"1","45","4","1","no","64","NA","5","2","20","NA","NA","NA","90","NA","p","1768","0","76","NA","NA","NA","4","400","100"
"1","9","1","1","no","64","NA","5","2","20","NA","NA","NA","80","NA","l","2143","0","76","NA","NA","NA","1","400","100"
"1","1","3","1","no","64","NA","5","2","10","NA","NA","NA","20","NA","p","1998","0","76","NA","NA","NA","3","200","100"
"1","53","4","1","no","64","NA","5","2","30","NA","NA","NA","40","NA","p","2612","0","76","NA","NA","NA","4","300","200"
"1","10","2","1","no","64","NA","5","2","20","NA","NA","NA","40","NA","p","2312","1","76","NA","NA","NA","2","400","200"
