"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"2","10","1","2","no","65","NA","6","2","20","NA","NA","NA","40","NA","p","8076","1","89","NA","NA","NA","2","400","200"
"2","40","1","2","no","65","NA","6","2","20","NA","NA","NA","30","NA","l","9903","0","89","NA","NA","NA","2","200","100"
"2","45","3","2","no","65","NA","6","2","20","NA","NA","NA","90","NA","l","5537","1","89","NA","NA","NA","4","400","100"
"2","75","1","2","yes","65","NA","6","2","40","NA","NA","NA","50","NA","p","6032","1","89","NA","NA","NA","2","200","400"
"2","4","4","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","p","11484","0","89","NA","NA","NA","1","400","200"
"2","48","1","2","no","65","NA","6","2","20","NA","NA","NA","30","NA","p","17733","1","89","NA","NA","NA","2","500","300"
"2","28","4","2","no","65","NA","6","2","80","NA","NA","NA","100","NA","l","20199","1","89","NA","NA","NA","1","500","400"
"2","73","3","2","yes","65","NA","6","2","60","NA","NA","NA","70","NA","l","8581","1","89","NA","NA","NA","4","200","400"
"2","52","1","2","no","65","NA","6","2","30","NA","NA","NA","100","NA","p","2450","1","89","NA","NA","NA","2","300","100"
"2","38","2","2","no","65","NA","6","2","10","NA","NA","NA","30","NA","p","5333","1","89","NA","NA","NA","3","500","200"
"2","49","3","2","no","65","NA","6","2","30","NA","NA","NA","50","NA","l","18494","1","89","NA","NA","NA","4","200","100"
"2","55","4","2","no","65","NA","6","2","30","NA","NA","NA","70","NA","l","12856","1","89","NA","NA","NA","1","500","200"
"2","42","1","2","no","65","NA","6","2","20","NA","NA","NA","50","NA","p","8635","1","89","NA","NA","NA","2","300","100"
"2","29","3","2","no","65","NA","6","2","10","NA","NA","NA","30","NA","l","5880","1","89","NA","NA","NA","4","200","100"
"2","18","4","2","no","65","NA","6","2","40","NA","NA","NA","80","NA","l","4810","1","89","NA","NA","NA","1","200","100"
"2","25","4","2","no","65","NA","6","2","60","NA","NA","NA","90","NA","l","3944","1","89","NA","NA","NA","1","300","200"
"2","1","2","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","p","10310","1","89","NA","NA","NA","3","200","100"
"2","53","3","2","no","65","NA","6","2","30","NA","NA","NA","40","NA","l","7984","1","89","NA","NA","NA","4","300","200"
"2","66","4","2","no","65","NA","6","2","50","NA","NA","NA","80","NA","l","13551","1","89","NA","NA","NA","1","500","300"
"2","3","2","2","no","65","NA","6","2","10","NA","NA","NA","40","NA","p","4102","1","89","NA","NA","NA","3","400","100"
"2","16","4","2","no","65","NA","6","2","30","NA","NA","NA","40","NA","l","10161","1","89","NA","NA","NA","1","400","300"
"2","31","2","2","no","65","NA","6","2","10","NA","NA","NA","40","NA","p","5537","1","89","NA","NA","NA","3","300","100"
"2","67","3","2","no","65","NA","6","2","50","NA","NA","NA","60","NA","l","9624","1","89","NA","NA","NA","4","500","400"
"2","39","4","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","l","4519","1","89","NA","NA","NA","1","500","300"
"2","6","2","2","no","65","NA","6","2","20","NA","NA","NA","40","NA","p","3623","1","89","NA","NA","NA","3","200","100"
"2","17","3","2","no","65","NA","6","2","30","NA","NA","NA","50","NA","l","3165","1","89","NA","NA","NA","4","500","300"
"2","41","4","2","no","65","NA","6","2","20","NA","NA","NA","50","NA","l","2890","1","89","NA","NA","NA","1","200","100"
"2","8","1","2","no","65","NA","6","2","20","NA","NA","NA","30","NA","p","11668","1","89","NA","NA","NA","2","300","200"
"2","14","3","2","no","65","NA","6","2","30","NA","NA","NA","90","NA","p","3319","0","89","NA","NA","NA","4","300","100"
"2","26","4","2","no","65","NA","6","2","60","NA","NA","NA","80","NA","p","2793","0","89","NA","NA","NA","1","400","300"
"2","2","3","2","no","65","NA","6","2","10","NA","NA","NA","30","NA","l","4447","1","89","NA","NA","NA","4","300","100"
"2","68","2","2","no","65","NA","6","2","70","NA","NA","NA","100","NA","p","1738","1","89","NA","NA","NA","3","300","200"
"2","32","1","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","p","2961","1","89","NA","NA","NA","2","300","200"
"2","33","1","2","no","65","NA","6","2","10","NA","NA","NA","30","NA","p","2201","1","89","NA","NA","NA","2","400","100"
"2","9","4","2","no","65","NA","6","2","20","NA","NA","NA","80","NA","l","2825","1","89","NA","NA","NA","1","400","100"
"2","35","2","2","no","65","NA","6","2","10","NA","NA","NA","40","NA","p","2740","1","89","NA","NA","NA","3","500","100"
"2","24","3","2","no","65","NA","6","2","50","NA","NA","NA","100","NA","l","2724","1","89","NA","NA","NA","4","400","200"
"2","5","1","2","no","65","NA","6","2","10","NA","NA","NA","50","NA","p","2035","1","89","NA","NA","NA","2","500","100"
"2","62","2","2","no","65","NA","6","2","50","NA","NA","NA","90","NA","p","4615","1","89","NA","NA","NA","3","200","100"
"2","74","2","2","yes","65","NA","6","2","50","NA","NA","NA","60","NA","p","4734","1","89","NA","NA","NA","3","300","400"
"2","61","1","2","no","65","NA","6","2","40","NA","NA","NA","70","NA","p","3813","1","89","NA","NA","NA","2","500","300"
"2","13","1","2","no","65","NA","6","2","30","NA","NA","NA","60","NA","p","3939","1","89","NA","NA","NA","2","200","100"
"2","72","2","2","yes","65","NA","6","2","70","NA","NA","NA","80","NA","p","1946","1","89","NA","NA","NA","3","300","400"
"2","71","3","2","yes","65","NA","6","2","80","NA","NA","NA","90","NA","l","1322","1","89","NA","NA","NA","4","200","400"
"2","50","1","2","no","65","NA","6","2","30","NA","NA","NA","70","NA","p","5187","1","89","NA","NA","NA","2","200","100"
"2","60","2","2","no","65","NA","6","2","40","NA","NA","NA","50","NA","p","7722","1","89","NA","NA","NA","3","400","300"
"2","65","4","2","no","65","NA","6","2","50","NA","NA","NA","70","NA","l","1754","1","89","NA","NA","NA","1","400","300"
"2","23","3","2","no","65","NA","6","2","50","NA","NA","NA","100","NA","l","1570","1","89","NA","NA","NA","4","200","100"
"2","58","2","2","no","65","NA","6","2","40","NA","NA","NA","70","NA","p","3402","1","89","NA","NA","NA","3","200","100"
"2","54","4","2","no","65","NA","6","2","30","NA","NA","NA","50","NA","l","1128","1","89","NA","NA","NA","1","300","200"
"2","7","1","2","no","65","NA","6","2","20","NA","NA","NA","60","NA","p","2888","1","89","NA","NA","NA","2","300","100"
"2","36","2","2","no","65","NA","6","2","10","NA","NA","NA","60","NA","p","1338","1","89","NA","NA","NA","3","500","100"
"2","22","1","2","no","65","NA","6","2","40","NA","NA","NA","50","NA","p","2516","1","89","NA","NA","NA","2","500","400"
"2","37","2","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","p","1140","1","89","NA","NA","NA","3","500","200"
"2","11","3","2","no","65","NA","6","2","20","NA","NA","NA","100","NA","l","1204","1","89","NA","NA","NA","4","500","100"
"2","12","1","2","no","65","NA","6","2","20","NA","NA","NA","50","NA","l","1448","0","89","NA","NA","NA","2","500","200"
"2","69","2","2","no","65","NA","6","2","70","NA","NA","NA","90","NA","p","3086","1","89","NA","NA","NA","3","400","300"
"2","27","2","2","no","65","NA","6","2","60","NA","NA","NA","100","NA","p","1920","1","89","NA","NA","NA","3","500","300"
"2","30","3","2","no","65","NA","6","2","10","NA","NA","NA","20","NA","l","2809","1","89","NA","NA","NA","4","300","100"
"2","43","4","2","no","65","NA","6","2","20","NA","NA","NA","70","NA","l","1758","1","89","NA","NA","NA","1","300","100"
"2","19","3","2","no","65","NA","6","2","40","NA","NA","NA","60","NA","l","1525","1","89","NA","NA","NA","4","300","200"
"2","64","3","2","no","65","NA","6","2","50","NA","NA","NA","80","NA","l","1772","1","89","NA","NA","NA","4","300","200"
"2","47","4","2","no","65","NA","6","2","20","NA","NA","NA","90","NA","l","1125","1","89","NA","NA","NA","1","500","100"
