"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","67","1","2","no","49","NA","8","2","50","NA","NA","NA","60","NA","l","3926","0","82","NA","NA","NA","4","500","400"
"4","6","4","2","no","49","NA","8","2","20","NA","NA","NA","40","NA","p","5191","0","82","NA","NA","NA","3","200","100"
"4","31","4","2","no","49","NA","8","2","10","NA","NA","NA","40","NA","l","2318","1","82","NA","NA","NA","3","300","100"
"4","61","3","2","no","49","NA","8","2","40","NA","NA","NA","70","NA","l","5214","1","82","NA","NA","NA","2","500","300"
"4","34","1","2","no","49","NA","8","2","10","NA","NA","NA","50","NA","p","5259","1","82","NA","NA","NA","4","400","100"
"4","52","3","2","no","49","NA","8","2","30","NA","NA","NA","100","NA","l","1999","1","82","NA","NA","NA","2","300","100"
"4","41","2","2","no","49","NA","8","2","20","NA","NA","NA","50","NA","p","2220","1","82","NA","NA","NA","1","200","100"
"4","60","4","2","no","49","NA","8","2","40","NA","NA","NA","50","NA","l","3738","1","82","NA","NA","NA","3","400","300"
"4","43","2","2","no","49","NA","8","2","20","NA","NA","NA","70","NA","l","3602","0","82","NA","NA","NA","1","300","100"
"4","54","2","2","no","49","NA","8","2","30","NA","NA","NA","50","NA","l","3552","0","82","NA","NA","NA","1","300","200"
"4","48","3","2","no","49","NA","8","2","20","NA","NA","NA","30","NA","l","1783","1","82","NA","NA","NA","2","500","300"
"4","57","4","2","no","49","NA","8","2","30","NA","NA","NA","40","NA","l","2333","1","82","NA","NA","NA","3","500","400"
"4","10","3","2","no","49","NA","8","2","20","NA","NA","NA","40","NA","l","2958","1","82","NA","NA","NA","2","400","200"
"4","72","4","2","yes","49","NA","8","2","70","NA","NA","NA","80","NA","l","1734","1","82","NA","NA","NA","3","300","400"
"4","58","4","2","no","49","NA","8","2","40","NA","NA","NA","70","NA","l","1911","1","82","NA","NA","NA","3","200","100"
"4","50","3","2","no","49","NA","8","2","30","NA","NA","NA","70","NA","p","1232","0","82","NA","NA","NA","2","200","100"
"4","49","1","2","no","49","NA","8","2","30","NA","NA","NA","50","NA","p","1756","1","82","NA","NA","NA","4","200","100"
"4","75","3","2","yes","49","NA","8","2","40","NA","NA","NA","50","NA","p","1236","0","82","NA","NA","NA","2","200","400"
"4","15","2","2","no","49","NA","8","2","30","NA","NA","NA","60","NA","l","1617","0","82","NA","NA","NA","1","400","200"
"4","16","2","2","no","49","NA","8","2","30","NA","NA","NA","40","NA","p","2973","1","82","NA","NA","NA","1","400","300"
"4","24","1","2","no","49","NA","8","2","50","NA","NA","NA","100","NA","p","1451","1","82","NA","NA","NA","4","400","200"
"4","27","4","2","no","49","NA","8","2","60","NA","NA","NA","100","NA","l","626","1","82","NA","NA","NA","3","500","300"
"4","17","1","2","no","49","NA","8","2","30","NA","NA","NA","50","NA","p","446","1","82","NA","NA","NA","4","500","300"
"4","19","1","2","no","49","NA","8","2","40","NA","NA","NA","60","NA","l","2226","0","82","NA","NA","NA","4","300","200"
"4","51","2","2","no","49","NA","8","2","30","NA","NA","NA","80","NA","p","1400","1","82","NA","NA","NA","1","300","100"
"4","4","2","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","l","909","0","82","NA","NA","NA","1","400","200"
"4","46","4","2","no","49","NA","8","2","20","NA","NA","NA","30","NA","p","1005","0","82","NA","NA","NA","3","400","300"
"4","13","3","2","no","49","NA","8","2","30","NA","NA","NA","60","NA","l","1293","1","82","NA","NA","NA","2","200","100"
"4","11","1","2","no","49","NA","8","2","20","NA","NA","NA","100","NA","l","2228","0","82","NA","NA","NA","4","500","100"
"4","25","2","2","no","49","NA","8","2","60","NA","NA","NA","90","NA","l","1898","0","82","NA","NA","NA","1","300","200"
"4","68","4","2","no","49","NA","8","2","70","NA","NA","NA","100","NA","p","1133","0","82","NA","NA","NA","3","300","200"
"4","7","3","2","no","49","NA","8","2","20","NA","NA","NA","60","NA","l","1366","1","82","NA","NA","NA","2","300","100"
"4","56","1","2","no","49","NA","8","2","30","NA","NA","NA","80","NA","p","1676","1","82","NA","NA","NA","4","500","200"
"4","40","3","2","no","49","NA","8","2","20","NA","NA","NA","30","NA","l","712","1","82","NA","NA","NA","2","200","100"
"4","14","1","2","no","49","NA","8","2","30","NA","NA","NA","90","NA","l","1791","0","82","NA","NA","NA","4","300","100"
"4","44","2","2","no","49","NA","8","2","20","NA","NA","NA","70","NA","l","3134","0","82","NA","NA","NA","1","400","100"
"4","33","3","2","no","49","NA","8","2","10","NA","NA","NA","30","NA","p","2423","0","82","NA","NA","NA","2","400","100"
"4","8","3","2","no","49","NA","8","2","20","NA","NA","NA","30","NA","l","2004","1","82","NA","NA","NA","2","300","200"
"4","59","3","2","no","49","NA","8","2","40","NA","NA","NA","90","NA","l","4597","1","82","NA","NA","NA","2","200","100"
"4","23","1","2","no","49","NA","8","2","50","NA","NA","NA","100","NA","l","778","0","82","NA","NA","NA","4","200","100"
"4","69","4","2","no","49","NA","8","2","70","NA","NA","NA","90","NA","l","1985","1","82","NA","NA","NA","3","400","300"
"4","66","2","2","no","49","NA","8","2","50","NA","NA","NA","80","NA","p","1080","1","82","NA","NA","NA","1","500","300"
"4","26","2","2","no","49","NA","8","2","60","NA","NA","NA","80","NA","l","996","0","82","NA","NA","NA","1","400","300"
"4","55","2","2","no","49","NA","8","2","30","NA","NA","NA","70","NA","p","960","1","82","NA","NA","NA","1","500","200"
"4","74","4","2","yes","49","NA","8","2","50","NA","NA","NA","60","NA","l","1263","1","82","NA","NA","NA","3","300","400"
"4","62","4","2","no","49","NA","8","2","50","NA","NA","NA","90","NA","p","786","0","82","NA","NA","NA","3","200","100"
"4","29","1","2","no","49","NA","8","2","10","NA","NA","NA","30","NA","p","752","1","82","NA","NA","NA","4","200","100"
"4","18","2","2","no","49","NA","8","2","40","NA","NA","NA","80","NA","l","1904","0","82","NA","NA","NA","1","200","100"
"4","22","3","2","no","49","NA","8","2","40","NA","NA","NA","50","NA","p","1102","0","82","NA","NA","NA","2","500","400"
"4","3","4","2","no","49","NA","8","2","10","NA","NA","NA","40","NA","l","3988","1","82","NA","NA","NA","3","400","100"
"4","32","3","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","p","1234","0","82","NA","NA","NA","2","300","200"
"4","37","4","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","p","1367","0","82","NA","NA","NA","3","500","200"
"4","45","1","2","no","49","NA","8","2","20","NA","NA","NA","90","NA","l","1947","0","82","NA","NA","NA","4","400","100"
"4","20","3","2","no","49","NA","8","2","40","NA","NA","NA","80","NA","l","1238","1","82","NA","NA","NA","2","400","200"
"4","2","1","2","no","49","NA","8","2","10","NA","NA","NA","30","NA","l","947","0","82","NA","NA","NA","4","300","100"
"4","70","4","2","no","49","NA","8","2","70","NA","NA","NA","90","NA","p","1138","0","82","NA","NA","NA","3","500","400"
"4","47","2","2","no","49","NA","8","2","20","NA","NA","NA","90","NA","l","1715","0","82","NA","NA","NA","1","500","100"
"4","5","3","2","no","49","NA","8","2","10","NA","NA","NA","50","NA","l","1804","1","82","NA","NA","NA","2","500","100"
"4","9","2","2","no","49","NA","8","2","20","NA","NA","NA","80","NA","l","2025","0","82","NA","NA","NA","1","400","100"
"4","1","4","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","l","3439","1","82","NA","NA","NA","3","200","100"
"4","36","4","2","no","49","NA","8","2","10","NA","NA","NA","60","NA","l","2074","1","82","NA","NA","NA","3","500","100"
"4","21","3","2","no","49","NA","8","2","40","NA","NA","NA","100","NA","l","3030","1","82","NA","NA","NA","2","500","200"
"4","38","4","2","no","49","NA","8","2","10","NA","NA","NA","30","NA","p","2378","0","82","NA","NA","NA","3","500","200"
"4","63","1","2","no","49","NA","8","2","50","NA","NA","NA","70","NA","p","2992","1","82","NA","NA","NA","4","300","200"
"4","71","1","2","yes","49","NA","8","2","80","NA","NA","NA","90","NA","l","3287","0","82","NA","NA","NA","4","200","400"
"4","30","1","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","p","1873","1","82","NA","NA","NA","4","300","100"
"4","53","1","2","no","49","NA","8","2","30","NA","NA","NA","40","NA","p","3196","1","82","NA","NA","NA","4","300","200"
"4","28","2","2","no","49","NA","8","2","80","NA","NA","NA","100","NA","l","2699","0","82","NA","NA","NA","1","500","400"
"4","39","2","2","no","49","NA","8","2","10","NA","NA","NA","20","NA","l","5524","0","82","NA","NA","NA","1","500","300"
"4","35","4","2","no","49","NA","8","2","10","NA","NA","NA","40","NA","p","1253","0","82","NA","NA","NA","3","500","100"
"4","65","2","2","no","49","NA","8","2","50","NA","NA","NA","70","NA","l","1009","0","82","NA","NA","NA","1","400","300"
"4","42","3","2","no","49","NA","8","2","20","NA","NA","NA","50","NA","p","1318","0","82","NA","NA","NA","2","300","100"
