"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"1","14","2","2","no","20","NA","5","2","30","NA","NA","NA","90","NA","l","2926","0","105","NA","NA","NA","4","300","100"
"1","69","1","2","no","20","NA","5","2","70","NA","NA","NA","90","NA","p","3614","1","105","NA","NA","NA","3","400","300"
"1","52","4","2","no","20","NA","5","2","30","NA","NA","NA","100","NA","l","3051","1","105","NA","NA","NA","2","300","100"
"1","29","2","2","no","20","NA","5","2","10","NA","NA","NA","30","NA","p","4534","1","105","NA","NA","NA","4","200","100"
"1","38","1","2","no","20","NA","5","2","10","NA","NA","NA","30","NA","l","4286","0","105","NA","NA","NA","3","500","200"
"1","64","2","2","no","20","NA","5","2","50","NA","NA","NA","80","NA","p","3802","1","105","NA","NA","NA","4","300","200"
"1","35","1","2","no","20","NA","5","2","10","NA","NA","NA","40","NA","p","4479","1","105","NA","NA","NA","3","500","100"
"1","66","3","2","no","20","NA","5","2","50","NA","NA","NA","80","NA","p","8182","0","105","NA","NA","NA","1","500","300"
"1","40","4","2","no","20","NA","5","2","20","NA","NA","NA","30","NA","l","5431","1","105","NA","NA","NA","2","200","100"
"1","74","1","2","yes","20","NA","5","2","50","NA","NA","NA","60","NA","p","3618","1","105","NA","NA","NA","3","300","400"
"1","11","2","2","no","20","NA","5","2","20","NA","NA","NA","100","NA","p","2967","1","105","NA","NA","NA","4","500","100"
"1","2","2","2","no","20","NA","5","2","10","NA","NA","NA","30","NA","p","3903","1","105","NA","NA","NA","4","300","100"
"1","60","1","2","no","20","NA","5","2","40","NA","NA","NA","50","NA","p","3511","1","105","NA","NA","NA","3","400","300"
"1","39","3","2","no","20","NA","5","2","10","NA","NA","NA","20","NA","l","1768","1","105","NA","NA","NA","1","500","300"
"1","65","3","2","no","20","NA","5","2","50","NA","NA","NA","70","NA","l","2887","1","105","NA","NA","NA","1","400","300"
"1","56","2","2","no","20","NA","5","2","30","NA","NA","NA","80","NA","p","3065","1","105","NA","NA","NA","4","500","200"
"1","27","1","2","no","20","NA","5","2","60","NA","NA","NA","100","NA","p","4716","1","105","NA","NA","NA","3","500","300"
"1","12","4","2","no","20","NA","5","2","20","NA","NA","NA","50","NA","l","6069","1","105","NA","NA","NA","2","500","200"
"1","48","4","2","no","20","NA","5","2","20","NA","NA","NA","30","NA","l","2649","1","105","NA","NA","NA","2","500","300"
"1","19","2","2","no","20","NA","5","2","40","NA","NA","NA","60","NA","p","1955","1","105","NA","NA","NA","4","300","200"
