"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"1","11","4","1","no","73","NA","1","1","20","NA","NA","NA","100","NA","p","4130","0","80","NA","NA","NA","4","500","100"
"1","15","1","1","no","73","NA","1","1","30","NA","NA","NA","60","NA","l","3649","0","80","NA","NA","NA","1","400","200"
"1","34","4","1","no","73","NA","1","1","10","NA","NA","NA","50","NA","p","4012","0","80","NA","NA","NA","4","400","100"
"1","60","3","1","no","73","NA","1","1","40","NA","NA","NA","50","NA","p","4253","0","80","NA","NA","NA","3","400","300"
"1","49","4","1","no","73","NA","1","1","30","NA","NA","NA","50","NA","p","6560","0","80","NA","NA","NA","4","200","100"
"1","70","3","1","no","73","NA","1","1","70","NA","NA","NA","90","NA","p","3038","0","80","NA","NA","NA","3","500","400"
"1","37","3","1","no","73","NA","1","1","10","NA","NA","NA","20","NA","p","3983","0","80","NA","NA","NA","3","500","200"
"1","14","4","1","no","73","NA","1","1","30","NA","NA","NA","90","NA","l","1956","1","80","NA","NA","NA","4","300","100"
"1","74","3","1","yes","73","NA","1","1","50","NA","NA","NA","60","NA","p","1234","0","80","NA","NA","NA","3","300","400"
"1","1","3","1","no","73","NA","1","1","10","NA","NA","NA","20","NA","p","1411","0","80","NA","NA","NA","3","200","100"
"1","48","2","1","no","73","NA","1","1","20","NA","NA","NA","30","NA","l","5311","0","80","NA","NA","NA","2","500","300"
"1","47","1","1","no","73","NA","1","1","20","NA","NA","NA","90","NA","l","1596","0","80","NA","NA","NA","1","500","100"
"1","67","4","1","no","73","NA","1","1","50","NA","NA","NA","60","NA","p","2121","0","80","NA","NA","NA","4","500","400"
"1","16","1","1","no","73","NA","1","1","30","NA","NA","NA","40","NA","l","1623","0","80","NA","NA","NA","1","400","300"
