"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","61","1","1","no","19","NA","4","1","40","NA","NA","NA","70","NA","l","12212","0","123","NA","NA","NA","2","500","300"
"4","72","2","1","yes","19","NA","4","1","70","NA","NA","NA","80","NA","p","17984","1","123","NA","NA","NA","3","300","400"
"4","22","1","1","no","19","NA","4","1","40","NA","NA","NA","50","NA","l","12080","0","123","NA","NA","NA","2","500","400"
"4","3","2","1","no","19","NA","4","1","10","NA","NA","NA","40","NA","l","11531","0","123","NA","NA","NA","3","400","100"
"4","49","3","1","no","19","NA","4","1","30","NA","NA","NA","50","NA","p","10155","0","123","NA","NA","NA","4","200","100"
"4","75","1","1","yes","19","NA","4","1","40","NA","NA","NA","50","NA","l","11298","0","123","NA","NA","NA","2","200","400"
"4","38","2","1","no","19","NA","4","1","10","NA","NA","NA","30","NA","l","5259","0","123","NA","NA","NA","3","500","200"
"4","8","1","1","no","19","NA","4","1","20","NA","NA","NA","30","NA","l","9469","0","123","NA","NA","NA","2","300","200"
"4","28","4","1","no","19","NA","4","1","80","NA","NA","NA","100","NA","p","5162","0","123","NA","NA","NA","1","500","400"
"4","66","4","1","no","19","NA","4","1","50","NA","NA","NA","80","NA","p","7385","0","123","NA","NA","NA","1","500","300"
"4","60","2","1","no","19","NA","4","1","40","NA","NA","NA","50","NA","l","8928","0","123","NA","NA","NA","3","400","300"
"4","53","3","1","no","19","NA","4","1","30","NA","NA","NA","40","NA","p","18239","0","123","NA","NA","NA","4","300","200"
"4","12","1","1","no","19","NA","4","1","20","NA","NA","NA","50","NA","l","7258","0","123","NA","NA","NA","2","500","200"
"4","69","2","1","no","19","NA","4","1","70","NA","NA","NA","90","NA","l","9655","0","123","NA","NA","NA","3","400","300"
"4","47","4","1","no","19","NA","4","1","20","NA","NA","NA","90","NA","p","2740","0","123","NA","NA","NA","1","500","100"
"4","16","4","1","no","19","NA","4","1","30","NA","NA","NA","40","NA","p","6596","0","123","NA","NA","NA","1","400","300"
"4","39","4","1","no","19","NA","4","1","10","NA","NA","NA","20","NA","p","11521","0","123","NA","NA","NA","1","500","300"
"4","58","2","1","no","19","NA","4","1","40","NA","NA","NA","70","NA","p","3233","1","123","NA","NA","NA","3","200","100"
"4","24","3","1","no","19","NA","4","1","50","NA","NA","NA","100","NA","p","5589","0","123","NA","NA","NA","4","400","200"
"4","71","3","1","yes","19","NA","4","1","80","NA","NA","NA","90","NA","p","7100","0","123","NA","NA","NA","4","200","400"
"4","11","3","1","no","19","NA","4","1","20","NA","NA","NA","100","NA","p","1733","0","123","NA","NA","NA","4","500","100"
"4","54","4","1","no","19","NA","4","1","30","NA","NA","NA","50","NA","p","7958","0","123","NA","NA","NA","1","300","200"
"4","5","1","1","no","19","NA","4","1","10","NA","NA","NA","50","NA","l","11494","0","123","NA","NA","NA","2","500","100"
"4","48","1","1","no","19","NA","4","1","20","NA","NA","NA","30","NA","p","18937","1","123","NA","NA","NA","2","500","300"
"4","62","2","1","no","19","NA","4","1","50","NA","NA","NA","90","NA","l","9777","0","123","NA","NA","NA","3","200","100"
"4","63","3","1","no","19","NA","4","1","50","NA","NA","NA","70","NA","p","19574","0","123","NA","NA","NA","4","300","200"
"4","14","3","1","no","19","NA","4","1","30","NA","NA","NA","90","NA","p","5384","0","123","NA","NA","NA","4","300","100"
"4","68","2","1","no","19","NA","4","1","70","NA","NA","NA","100","NA","l","11668","0","123","NA","NA","NA","3","300","200"
"4","55","4","1","no","19","NA","4","1","30","NA","NA","NA","70","NA","p","12616","0","123","NA","NA","NA","1","500","200"
"4","2","3","1","no","19","NA","4","1","10","NA","NA","NA","30","NA","p","5452","0","123","NA","NA","NA","4","300","100"
"4","51","4","1","no","19","NA","4","1","30","NA","NA","NA","80","NA","p","4315","0","123","NA","NA","NA","1","300","100"
"4","43","4","1","no","19","NA","4","1","20","NA","NA","NA","70","NA","p","7043","0","123","NA","NA","NA","1","300","100"
"4","30","3","1","no","19","NA","4","1","10","NA","NA","NA","20","NA","p","15093","0","123","NA","NA","NA","4","300","100"
"4","56","3","1","no","19","NA","4","1","30","NA","NA","NA","80","NA","p","10767","0","123","NA","NA","NA","4","500","200"
"4","44","4","1","no","19","NA","4","1","20","NA","NA","NA","70","NA","p","8415","0","123","NA","NA","NA","1","400","100"
"4","50","1","1","no","19","NA","4","1","30","NA","NA","NA","70","NA","l","5221","0","123","NA","NA","NA","2","200","100"
"4","21","1","1","no","19","NA","4","1","40","NA","NA","NA","100","NA","l","4464","0","123","NA","NA","NA","2","500","200"
"4","41","4","1","no","19","NA","4","1","20","NA","NA","NA","50","NA","p","9903","0","123","NA","NA","NA","1","200","100"
"4","25","4","1","no","19","NA","4","1","60","NA","NA","NA","90","NA","p","10790","0","123","NA","NA","NA","1","300","200"
"4","15","4","1","no","19","NA","4","1","30","NA","NA","NA","60","NA","p","9717","0","123","NA","NA","NA","1","400","200"
"4","33","1","1","no","19","NA","4","1","10","NA","NA","NA","30","NA","l","13815","0","123","NA","NA","NA","2","400","100"
"4","35","2","1","no","19","NA","4","1","10","NA","NA","NA","40","NA","l","11380","0","123","NA","NA","NA","3","500","100"
"4","42","1","1","no","19","NA","4","1","20","NA","NA","NA","50","NA","l","8355","0","123","NA","NA","NA","2","300","100"
"4","70","2","1","no","19","NA","4","1","70","NA","NA","NA","90","NA","l","11938","0","123","NA","NA","NA","3","500","400"
"4","13","1","1","no","19","NA","4","1","30","NA","NA","NA","60","NA","l","5875","0","123","NA","NA","NA","2","200","100"
"4","9","4","1","no","19","NA","4","1","20","NA","NA","NA","80","NA","p","6423","0","123","NA","NA","NA","1","400","100"
"4","67","3","1","no","19","NA","4","1","50","NA","NA","NA","60","NA","l","16901","1","123","NA","NA","NA","4","500","400"
"4","37","2","1","no","19","NA","4","1","10","NA","NA","NA","20","NA","l","8375","0","123","NA","NA","NA","3","500","200"
"4","74","2","1","yes","19","NA","4","1","50","NA","NA","NA","60","NA","l","5638","0","123","NA","NA","NA","3","300","400"
"4","10","1","1","no","19","NA","4","1","20","NA","NA","NA","40","NA","l","19106","0","123","NA","NA","NA","2","400","200"
"4","65","4","1","no","19","NA","4","1","50","NA","NA","NA","70","NA","p","5621","0","123","NA","NA","NA","1","400","300"
"4","19","3","1","no","19","NA","4","1","40","NA","NA","NA","60","NA","p","9490","0","123","NA","NA","NA","4","300","200"
