"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"3","7","4","1","no","43","NA","3","1","20","NA","NA","NA","60","NA","p","4023","0","118","NA","NA","NA","2","300","100"
"3","4","3","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","l","3513","1","118","NA","NA","NA","1","400","200"
"3","13","4","1","no","43","NA","3","1","30","NA","NA","NA","60","NA","l","5066","1","118","NA","NA","NA","2","200","100"
"3","19","2","1","no","43","NA","3","1","40","NA","NA","NA","60","NA","l","2923","0","118","NA","NA","NA","4","300","200"
"3","54","3","1","no","43","NA","3","1","30","NA","NA","NA","50","NA","p","2043","0","118","NA","NA","NA","1","300","200"
"3","1","1","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","l","3579","0","118","NA","NA","NA","3","200","100"
"3","36","1","1","no","43","NA","3","1","10","NA","NA","NA","60","NA","p","1800","1","118","NA","NA","NA","3","500","100"
"3","53","2","1","no","43","NA","3","1","30","NA","NA","NA","40","NA","l","1988","0","118","NA","NA","NA","4","300","200"
"3","72","1","1","yes","43","NA","3","1","70","NA","NA","NA","80","NA","l","1609","0","118","NA","NA","NA","3","300","400"
"3","44","3","1","no","43","NA","3","1","20","NA","NA","NA","70","NA","p","2364","0","118","NA","NA","NA","1","400","100"
"3","6","1","1","no","43","NA","3","1","20","NA","NA","NA","40","NA","l","1049","0","118","NA","NA","NA","3","200","100"
"3","57","1","1","no","43","NA","3","1","30","NA","NA","NA","40","NA","p","1011","1","118","NA","NA","NA","3","500","400"
"3","24","2","1","no","43","NA","3","1","50","NA","NA","NA","100","NA","p","1783","1","118","NA","NA","NA","4","400","200"
"3","69","1","1","no","43","NA","3","1","70","NA","NA","NA","90","NA","l","1043","0","118","NA","NA","NA","3","400","300"
"3","2","2","1","no","43","NA","3","1","10","NA","NA","NA","30","NA","p","3206","1","118","NA","NA","NA","4","300","100"
"3","28","3","1","no","43","NA","3","1","80","NA","NA","NA","100","NA","l","931","1","118","NA","NA","NA","1","500","400"
"3","68","1","1","no","43","NA","3","1","70","NA","NA","NA","100","NA","p","808","1","118","NA","NA","NA","3","300","200"
"3","39","3","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","l","1220","1","118","NA","NA","NA","1","500","300"
"3","42","4","1","no","43","NA","3","1","20","NA","NA","NA","50","NA","l","1064","1","118","NA","NA","NA","2","300","100"
"3","47","3","1","no","43","NA","3","1","20","NA","NA","NA","90","NA","p","361","0","118","NA","NA","NA","1","500","100"
"3","48","4","1","no","43","NA","3","1","20","NA","NA","NA","30","NA","l","270","1","118","NA","NA","NA","2","500","300"
"3","46","1","1","no","43","NA","3","1","20","NA","NA","NA","30","NA","p","751","1","118","NA","NA","NA","3","400","300"
"3","50","4","1","no","43","NA","3","1","30","NA","NA","NA","70","NA","l","1083","1","118","NA","NA","NA","2","200","100"
"3","75","4","1","yes","43","NA","3","1","40","NA","NA","NA","50","NA","p","1070","0","118","NA","NA","NA","2","200","400"
"3","43","3","1","no","43","NA","3","1","20","NA","NA","NA","70","NA","p","1598","0","118","NA","NA","NA","1","300","100"
"3","40","4","1","no","43","NA","3","1","20","NA","NA","NA","30","NA","l","770","1","118","NA","NA","NA","2","200","100"
"3","51","3","1","no","43","NA","3","1","30","NA","NA","NA","80","NA","p","1768","0","118","NA","NA","NA","1","300","100"
"3","55","3","1","no","43","NA","3","1","30","NA","NA","NA","70","NA","p","685","0","118","NA","NA","NA","1","500","200"
"3","35","1","1","no","43","NA","3","1","10","NA","NA","NA","40","NA","l","789","0","118","NA","NA","NA","3","500","100"
"3","18","3","1","no","43","NA","3","1","40","NA","NA","NA","80","NA","p","1289","0","118","NA","NA","NA","1","200","100"
"3","70","1","1","no","43","NA","3","1","70","NA","NA","NA","90","NA","l","1011","0","118","NA","NA","NA","3","500","400"
"3","25","3","1","no","43","NA","3","1","60","NA","NA","NA","90","NA","p","837","0","118","NA","NA","NA","1","300","200"
"3","64","2","1","no","43","NA","3","1","50","NA","NA","NA","80","NA","p","1312","1","118","NA","NA","NA","4","300","200"
"3","14","2","1","no","43","NA","3","1","30","NA","NA","NA","90","NA","p","1495","1","118","NA","NA","NA","4","300","100"
"3","60","1","1","no","43","NA","3","1","40","NA","NA","NA","50","NA","l","828","0","118","NA","NA","NA","3","400","300"
"3","65","3","1","no","43","NA","3","1","50","NA","NA","NA","70","NA","l","1777","1","118","NA","NA","NA","1","400","300"
"3","34","2","1","no","43","NA","3","1","10","NA","NA","NA","50","NA","p","1389","1","118","NA","NA","NA","4","400","100"
"3","67","2","1","no","43","NA","3","1","50","NA","NA","NA","60","NA","p","1330","1","118","NA","NA","NA","4","500","400"
"3","31","1","1","no","43","NA","3","1","10","NA","NA","NA","40","NA","l","1089","0","118","NA","NA","NA","3","300","100"
"3","49","2","1","no","43","NA","3","1","30","NA","NA","NA","50","NA","p","307","1","118","NA","NA","NA","4","200","100"
"3","23","2","1","no","43","NA","3","1","50","NA","NA","NA","100","NA","l","1867","0","118","NA","NA","NA","4","200","100"
"3","10","4","1","no","43","NA","3","1","20","NA","NA","NA","40","NA","p","1771","0","118","NA","NA","NA","2","400","200"
"3","22","4","1","no","43","NA","3","1","40","NA","NA","NA","50","NA","l","1074","1","118","NA","NA","NA","2","500","400"
"3","20","4","1","no","43","NA","3","1","40","NA","NA","NA","80","NA","l","2084","1","118","NA","NA","NA","2","400","200"
"3","56","2","1","no","43","NA","3","1","30","NA","NA","NA","80","NA","p","4235","1","118","NA","NA","NA","4","500","200"
"3","59","4","1","no","43","NA","3","1","40","NA","NA","NA","90","NA","p","1496","0","118","NA","NA","NA","2","200","100"
"3","33","4","1","no","43","NA","3","1","10","NA","NA","NA","30","NA","l","839","1","118","NA","NA","NA","2","400","100"
"3","71","2","1","yes","43","NA","3","1","80","NA","NA","NA","90","NA","l","2449","0","118","NA","NA","NA","4","200","400"
"3","27","1","1","no","43","NA","3","1","60","NA","NA","NA","100","NA","l","1507","0","118","NA","NA","NA","3","500","300"
"3","41","3","1","no","43","NA","3","1","20","NA","NA","NA","50","NA","l","4970","1","118","NA","NA","NA","1","200","100"
"3","66","3","1","no","43","NA","3","1","50","NA","NA","NA","80","NA","p","1679","0","118","NA","NA","NA","1","500","300"
"3","5","4","1","no","43","NA","3","1","10","NA","NA","NA","50","NA","p","4497","0","118","NA","NA","NA","2","500","100"
"3","30","2","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","p","2449","1","118","NA","NA","NA","4","300","100"
"3","3","1","1","no","43","NA","3","1","10","NA","NA","NA","40","NA","l","1114","0","118","NA","NA","NA","3","400","100"
"3","21","4","1","no","43","NA","3","1","40","NA","NA","NA","100","NA","l","1602","1","118","NA","NA","NA","2","500","200"
"3","15","3","1","no","43","NA","3","1","30","NA","NA","NA","60","NA","p","693","0","118","NA","NA","NA","1","400","200"
"3","52","4","1","no","43","NA","3","1","30","NA","NA","NA","100","NA","p","1546","0","118","NA","NA","NA","2","300","100"
"3","8","4","1","no","43","NA","3","1","20","NA","NA","NA","30","NA","p","1618","0","118","NA","NA","NA","2","300","200"
"3","74","1","1","yes","43","NA","3","1","50","NA","NA","NA","60","NA","l","1543","0","118","NA","NA","NA","3","300","400"
"3","63","2","1","no","43","NA","3","1","50","NA","NA","NA","70","NA","l","2172","0","118","NA","NA","NA","4","300","200"
"3","73","2","1","yes","43","NA","3","1","60","NA","NA","NA","70","NA","l","1688","0","118","NA","NA","NA","4","200","400"
"3","32","4","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","p","3706","0","118","NA","NA","NA","2","300","200"
"3","58","1","1","no","43","NA","3","1","40","NA","NA","NA","70","NA","l","2106","0","118","NA","NA","NA","3","200","100"
"3","45","2","1","no","43","NA","3","1","20","NA","NA","NA","90","NA","p","5994","1","118","NA","NA","NA","4","400","100"
"3","11","2","1","no","43","NA","3","1","20","NA","NA","NA","100","NA","l","1607","0","118","NA","NA","NA","4","500","100"
"3","61","4","1","no","43","NA","3","1","40","NA","NA","NA","70","NA","p","1515","0","118","NA","NA","NA","2","500","300"
"3","16","3","1","no","43","NA","3","1","30","NA","NA","NA","40","NA","p","2777","0","118","NA","NA","NA","1","400","300"
"3","62","1","1","no","43","NA","3","1","50","NA","NA","NA","90","NA","l","1286","0","118","NA","NA","NA","3","200","100"
"3","38","1","1","no","43","NA","3","1","10","NA","NA","NA","30","NA","l","2301","0","118","NA","NA","NA","3","500","200"
"3","17","2","1","no","43","NA","3","1","30","NA","NA","NA","50","NA","l","1973","0","118","NA","NA","NA","4","500","300"
"3","26","3","1","no","43","NA","3","1","60","NA","NA","NA","80","NA","p","884","0","118","NA","NA","NA","1","400","300"
"3","9","3","1","no","43","NA","3","1","20","NA","NA","NA","80","NA","p","2115","0","118","NA","NA","NA","1","400","100"
"3","12","4","1","no","43","NA","3","1","20","NA","NA","NA","50","NA","p","1483","0","118","NA","NA","NA","2","500","200"
"3","37","1","1","no","43","NA","3","1","10","NA","NA","NA","20","NA","p","1555","1","118","NA","NA","NA","3","500","200"
"3","29","2","1","no","43","NA","3","1","10","NA","NA","NA","30","NA","l","2329","0","118","NA","NA","NA","4","200","100"
"3","9","1","2","no","43","NA","3","1","20","NA","NA","NA","80","NA","l","5612","0","118","NA","NA","NA","1","400","100"
"3","61","2","2","no","43","NA","3","1","40","NA","NA","NA","70","NA","l","3848","0","118","NA","NA","NA","2","500","300"
"3","43","1","2","no","43","NA","3","1","20","NA","NA","NA","70","NA","p","2249","1","118","NA","NA","NA","1","300","100"
"3","3","3","2","no","43","NA","3","1","10","NA","NA","NA","40","NA","l","5355","1","118","NA","NA","NA","3","400","100"
"3","44","1","2","no","43","NA","3","1","20","NA","NA","NA","70","NA","p","2024","1","118","NA","NA","NA","1","400","100"
"3","41","1","2","no","43","NA","3","1","20","NA","NA","NA","50","NA","p","1323","1","118","NA","NA","NA","1","200","100"
"3","23","4","2","no","43","NA","3","1","50","NA","NA","NA","100","NA","p","5626","0","118","NA","NA","NA","4","200","100"
"3","11","4","2","no","43","NA","3","1","20","NA","NA","NA","100","NA","l","2181","1","118","NA","NA","NA","4","500","100"
"3","20","2","2","no","43","NA","3","1","40","NA","NA","NA","80","NA","l","2839","0","118","NA","NA","NA","2","400","200"
"3","45","4","2","no","43","NA","3","1","20","NA","NA","NA","90","NA","p","1411","0","118","NA","NA","NA","4","400","100"
"3","25","1","2","no","43","NA","3","1","60","NA","NA","NA","90","NA","l","1125","0","118","NA","NA","NA","1","300","200"
"3","29","4","2","no","43","NA","3","1","10","NA","NA","NA","30","NA","l","949","1","118","NA","NA","NA","4","200","100"
"3","66","1","2","no","43","NA","3","1","50","NA","NA","NA","80","NA","p","1463","1","118","NA","NA","NA","1","500","300"
"3","46","3","2","no","43","NA","3","1","20","NA","NA","NA","30","NA","l","3195","1","118","NA","NA","NA","3","400","300"
