"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"2","47","4","2","no","5","NA","6","2","20","NA","NA","NA","90","NA","p","4899","0","140","NA","NA","NA","1","500","100"
"2","59","1","2","no","5","NA","6","2","40","NA","NA","NA","90","NA","l","3849","0","140","NA","NA","NA","2","200","100"
"2","6","2","2","no","5","NA","6","2","20","NA","NA","NA","40","NA","l","4228","0","140","NA","NA","NA","3","200","100"
"2","75","1","2","yes","5","NA","6","2","40","NA","NA","NA","50","NA","p","6414","1","140","NA","NA","NA","2","200","400"
"2","65","4","2","no","5","NA","6","2","50","NA","NA","NA","70","NA","l","5667","1","140","NA","NA","NA","1","400","300"
"2","2","3","2","no","5","NA","6","2","10","NA","NA","NA","30","NA","l","4490","1","140","NA","NA","NA","4","300","100"
"2","9","4","2","no","5","NA","6","2","20","NA","NA","NA","80","NA","l","9891","1","140","NA","NA","NA","1","400","100"
"2","22","1","2","no","5","NA","6","2","40","NA","NA","NA","50","NA","p","6948","1","140","NA","NA","NA","2","500","400"
"2","67","3","2","no","5","NA","6","2","50","NA","NA","NA","60","NA","l","3522","1","140","NA","NA","NA","4","500","400"
"2","42","1","2","no","5","NA","6","2","20","NA","NA","NA","50","NA","p","4384","1","140","NA","NA","NA","2","300","100"
"2","11","3","2","no","5","NA","6","2","20","NA","NA","NA","100","NA","l","5638","1","140","NA","NA","NA","4","500","100"
"2","48","1","2","no","5","NA","6","2","20","NA","NA","NA","30","NA","l","8784","0","140","NA","NA","NA","2","500","300"
"2","12","1","2","no","5","NA","6","2","20","NA","NA","NA","50","NA","p","4644","1","140","NA","NA","NA","2","500","200"
"2","4","4","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","l","2789","1","140","NA","NA","NA","1","400","200"
"2","20","1","2","no","5","NA","6","2","40","NA","NA","NA","80","NA","p","5658","1","140","NA","NA","NA","2","400","200"
"2","30","3","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","l","1948","1","140","NA","NA","NA","4","300","100"
"2","43","4","2","no","5","NA","6","2","20","NA","NA","NA","70","NA","l","2635","1","140","NA","NA","NA","1","300","100"
"2","40","1","2","no","5","NA","6","2","20","NA","NA","NA","30","NA","p","5532","1","140","NA","NA","NA","2","200","100"
"2","69","2","2","no","5","NA","6","2","70","NA","NA","NA","90","NA","l","5473","0","140","NA","NA","NA","3","400","300"
"2","41","4","2","no","5","NA","6","2","20","NA","NA","NA","50","NA","l","2659","1","140","NA","NA","NA","1","200","100"
"2","35","2","2","no","5","NA","6","2","10","NA","NA","NA","40","NA","p","2476","1","140","NA","NA","NA","3","500","100"
"2","45","3","2","no","5","NA","6","2","20","NA","NA","NA","90","NA","l","6853","1","140","NA","NA","NA","4","400","100"
"2","61","1","2","no","5","NA","6","2","40","NA","NA","NA","70","NA","p","5720","1","140","NA","NA","NA","2","500","300"
"2","73","3","2","yes","5","NA","6","2","60","NA","NA","NA","70","NA","l","2599","1","140","NA","NA","NA","4","200","400"
"2","19","3","2","no","5","NA","6","2","40","NA","NA","NA","60","NA","l","3779","1","140","NA","NA","NA","4","300","200"
"2","21","1","2","no","5","NA","6","2","40","NA","NA","NA","100","NA","p","4681","1","140","NA","NA","NA","2","500","200"
"2","18","4","2","no","5","NA","6","2","40","NA","NA","NA","80","NA","l","6929","1","140","NA","NA","NA","1","200","100"
"2","44","4","2","no","5","NA","6","2","20","NA","NA","NA","70","NA","l","2415","1","140","NA","NA","NA","1","400","100"
"2","51","4","2","no","5","NA","6","2","30","NA","NA","NA","80","NA","l","1908","1","140","NA","NA","NA","1","300","100"
"2","37","2","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","p","1107","1","140","NA","NA","NA","3","500","200"
"2","71","3","2","yes","5","NA","6","2","80","NA","NA","NA","90","NA","l","3467","1","140","NA","NA","NA","4","200","400"
"2","46","2","2","no","5","NA","6","2","20","NA","NA","NA","30","NA","p","2644","1","140","NA","NA","NA","3","400","300"
"2","55","4","2","no","5","NA","6","2","30","NA","NA","NA","70","NA","l","1998","1","140","NA","NA","NA","1","500","200"
"2","3","2","2","no","5","NA","6","2","10","NA","NA","NA","40","NA","p","1346","1","140","NA","NA","NA","3","400","100"
"2","26","4","2","no","5","NA","6","2","60","NA","NA","NA","80","NA","p","5088","0","140","NA","NA","NA","1","400","300"
"2","15","4","2","no","5","NA","6","2","30","NA","NA","NA","60","NA","l","4537","1","140","NA","NA","NA","1","400","200"
"2","13","1","2","no","5","NA","6","2","30","NA","NA","NA","60","NA","p","1959","1","140","NA","NA","NA","2","200","100"
"2","56","3","2","no","5","NA","6","2","30","NA","NA","NA","80","NA","l","3797","1","140","NA","NA","NA","4","500","200"
"2","62","2","2","no","5","NA","6","2","50","NA","NA","NA","90","NA","p","4463","1","140","NA","NA","NA","3","200","100"
"2","28","4","2","no","5","NA","6","2","80","NA","NA","NA","100","NA","p","3768","0","140","NA","NA","NA","1","500","400"
"2","63","3","2","no","5","NA","6","2","50","NA","NA","NA","70","NA","l","1973","1","140","NA","NA","NA","4","300","200"
"2","70","2","2","no","5","NA","6","2","70","NA","NA","NA","90","NA","p","3178","1","140","NA","NA","NA","3","500","400"
"2","29","3","2","no","5","NA","6","2","10","NA","NA","NA","30","NA","l","2743","1","140","NA","NA","NA","4","200","100"
"2","50","1","2","no","5","NA","6","2","30","NA","NA","NA","70","NA","p","2750","1","140","NA","NA","NA","2","200","100"
"2","58","2","2","no","5","NA","6","2","40","NA","NA","NA","70","NA","p","3396","1","140","NA","NA","NA","3","200","100"
"2","64","3","2","no","5","NA","6","2","50","NA","NA","NA","80","NA","l","2296","1","140","NA","NA","NA","4","300","200"
"2","38","2","2","no","5","NA","6","2","10","NA","NA","NA","30","NA","p","1121","1","140","NA","NA","NA","3","500","200"
"2","39","4","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","l","1112","1","140","NA","NA","NA","1","500","300"
"2","54","4","2","no","5","NA","6","2","30","NA","NA","NA","50","NA","l","2182","1","140","NA","NA","NA","1","300","200"
"2","32","1","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","p","1147","1","140","NA","NA","NA","2","300","200"
"2","17","3","2","no","5","NA","6","2","30","NA","NA","NA","50","NA","l","1353","1","140","NA","NA","NA","4","500","300"
"2","7","1","2","no","5","NA","6","2","20","NA","NA","NA","60","NA","p","2088","1","140","NA","NA","NA","2","300","100"
"2","16","4","2","no","5","NA","6","2","30","NA","NA","NA","40","NA","l","3833","1","140","NA","NA","NA","1","400","300"
"2","33","1","2","no","5","NA","6","2","10","NA","NA","NA","30","NA","p","771","1","140","NA","NA","NA","2","400","100"
"2","74","2","2","yes","5","NA","6","2","50","NA","NA","NA","60","NA","p","2391","1","140","NA","NA","NA","3","300","400"
"2","52","1","2","no","5","NA","6","2","30","NA","NA","NA","100","NA","p","3460","1","140","NA","NA","NA","2","300","100"
"2","1","2","2","no","5","NA","6","2","10","NA","NA","NA","20","NA","p","869","1","140","NA","NA","NA","3","200","100"
"2","31","2","2","no","5","NA","6","2","10","NA","NA","NA","40","NA","p","1205","1","140","NA","NA","NA","3","300","100"
"2","60","2","2","no","5","NA","6","2","40","NA","NA","NA","50","NA","p","4675","1","140","NA","NA","NA","3","400","300"
"2","57","2","2","no","5","NA","6","2","30","NA","NA","NA","40","NA","p","2074","1","140","NA","NA","NA","3","500","400"
"2","8","1","2","no","5","NA","6","2","20","NA","NA","NA","30","NA","p","1668","1","140","NA","NA","NA","2","300","200"
"2","23","3","2","no","5","NA","6","2","50","NA","NA","NA","100","NA","l","2734","1","140","NA","NA","NA","4","200","100"
"2","72","2","2","yes","5","NA","6","2","70","NA","NA","NA","80","NA","p","2189","1","140","NA","NA","NA","3","300","400"
"2","36","2","2","no","5","NA","6","2","10","NA","NA","NA","60","NA","p","792","1","140","NA","NA","NA","3","500","100"
"2","5","1","2","no","5","NA","6","2","10","NA","NA","NA","50","NA","p","1203","1","140","NA","NA","NA","2","500","100"
"2","66","4","2","no","5","NA","6","2","50","NA","NA","NA","80","NA","l","1159","1","140","NA","NA","NA","1","500","300"
"2","10","1","2","no","5","NA","6","2","20","NA","NA","NA","40","NA","p","1499","1","140","NA","NA","NA","2","400","200"
"2","34","3","2","no","5","NA","6","2","10","NA","NA","NA","50","NA","l","1045","1","140","NA","NA","NA","4","400","100"
"2","49","3","2","no","5","NA","6","2","30","NA","NA","NA","50","NA","l","2159","1","140","NA","NA","NA","4","200","100"
"2","14","3","2","no","5","NA","6","2","30","NA","NA","NA","90","NA","l","981","1","140","NA","NA","NA","4","300","100"
"2","53","3","2","no","5","NA","6","2","30","NA","NA","NA","40","NA","l","2674","1","140","NA","NA","NA","4","300","200"
"2","68","2","2","no","5","NA","6","2","70","NA","NA","NA","100","NA","p","3026","1","140","NA","NA","NA","3","300","200"
"2","27","2","2","no","5","NA","6","2","60","NA","NA","NA","100","NA","p","3786","1","140","NA","NA","NA","3","500","300"
"2","25","4","2","no","5","NA","6","2","60","NA","NA","NA","90","NA","l","1321","1","140","NA","NA","NA","1","300","200"
"2","24","3","2","no","5","NA","6","2","50","NA","NA","NA","100","NA","l","2678","1","140","NA","NA","NA","4","400","200"
