"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"3","56","2","1","no","29","NA","3","1","30","NA","NA","NA","80","NA","l","2262","0","133","NA","NA","NA","4","500","200"
"3","50","4","1","no","29","NA","3","1","30","NA","NA","NA","70","NA","p","1683","0","133","NA","NA","NA","2","200","100"
"3","16","3","1","no","29","NA","3","1","30","NA","NA","NA","40","NA","p","2350","0","133","NA","NA","NA","1","400","300"
"3","61","4","1","no","29","NA","3","1","40","NA","NA","NA","70","NA","p","5335","0","133","NA","NA","NA","2","500","300"
"3","71","2","1","yes","29","NA","3","1","80","NA","NA","NA","90","NA","l","2545","0","133","NA","NA","NA","4","200","400"
"3","45","2","1","no","29","NA","3","1","20","NA","NA","NA","90","NA","l","5577","0","133","NA","NA","NA","4","400","100"
"3","48","4","1","no","29","NA","3","1","20","NA","NA","NA","30","NA","l","5488","1","133","NA","NA","NA","2","500","300"
"3","65","3","1","no","29","NA","3","1","50","NA","NA","NA","70","NA","p","6852","0","133","NA","NA","NA","1","400","300"
"3","13","4","1","no","29","NA","3","1","30","NA","NA","NA","60","NA","p","1273","0","133","NA","NA","NA","2","200","100"
"3","7","4","1","no","29","NA","3","1","20","NA","NA","NA","60","NA","p","1789","0","133","NA","NA","NA","2","300","100"
"3","23","2","1","no","29","NA","3","1","50","NA","NA","NA","100","NA","l","1195","0","133","NA","NA","NA","4","200","100"
"3","26","3","1","no","29","NA","3","1","60","NA","NA","NA","80","NA","p","1737","0","133","NA","NA","NA","1","400","300"
"3","38","1","1","no","29","NA","3","1","10","NA","NA","NA","30","NA","p","3987","1","133","NA","NA","NA","3","500","200"
"3","20","4","1","no","29","NA","3","1","40","NA","NA","NA","80","NA","p","3897","0","133","NA","NA","NA","2","400","200"
"3","73","2","1","yes","29","NA","3","1","60","NA","NA","NA","70","NA","l","1147","0","133","NA","NA","NA","4","200","400"
"3","40","4","1","no","29","NA","3","1","20","NA","NA","NA","30","NA","l","3726","1","133","NA","NA","NA","2","200","100"
"3","24","2","1","no","29","NA","3","1","50","NA","NA","NA","100","NA","l","1037","0","133","NA","NA","NA","4","400","200"
"3","37","1","1","no","29","NA","3","1","10","NA","NA","NA","20","NA","p","3291","1","133","NA","NA","NA","3","500","200"
"3","41","3","1","no","29","NA","3","1","20","NA","NA","NA","50","NA","p","3440","0","133","NA","NA","NA","1","200","100"
"3","25","3","1","no","29","NA","3","1","60","NA","NA","NA","90","NA","p","1004","0","133","NA","NA","NA","1","300","200"
